"CountryCode","CountryName","RequestYear","HeadCount","ReqYearPopulation"
"MDV","Maldives",2013,0.001629082,0.397397
"MLI","Mali",2013,0.1194677,16.477818
"MLT","Malta",2013,0,0.425967
"MRT","Mauritania",2013,0.009391644,3.94617
"MUS","Mauritius",2013,0,1.258653
"MEX","Mexico",2013,0.005974465,122.535969
"FSM","Micronesia, Federated States of",2013,0.04979611,0.103702
"MDA","Moldova",2013,0,3.558566
"MNG","Mongolia",2013,2.00719e-05,2.869107
"MNE","Montenegro",2013,0,0.621207
"MAR","Morocco",2013,0.0005005421,33.824769
"MOZ","Mozambique",2013,0.3037147,26.434372
"MMR","Myanmar",2013,0.01361071,51.448196
"NAM","Namibia",2013,0.04038556,2.31652
"NPL","Nepal",2013,0.004987679,27.98531
"NLD","Netherlands",2013,0,16.804432
"NIC","Nicaragua",2013,0.004878877,5.945747
"NER","Niger",2013,0.07669716,18.426372
"NGA","Nigeria",2013,0.1839647,171.829303
"NOR","Norway",2013,0,5.079623
"PAK","Pakistan",2013,0.0004937457,181.712595
"PAN","Panama",2013,0.004333425,3.838462
"PNG","Papua New Guinea",2013,0.1332534,7.592865
"PRY","Paraguay",2013,0.005472551,6.46574
"PER","Peru",2013,0.007025546,30.565716
"PHL","Philippines",2013,0.005415391,98.481032
"POL","Poland",2013,0,38.040196
"PRT","Portugal",2013,0.004890106,10.457295
"ROU","Romania",2013,0,19.983693
"RUS","Russian Federation",2013,3.762184e-06,143.506911
"RWA","Rwanda",2013,0.2015341,11.065151
"WSM","Samoa",2013,0.0003747374,0.190757
"STP","Sao Tome and Principe",2013,0.03376489,0.187045
"SEN","Senegal",2013,0.09234596,14.12032
"SRB","Serbia",2013,0,7.164132
"SYC","Seychelles",2013,0.003793199,0.089949
"SLE","Sierra Leone",2013,0.04040404,6.922079
"SVK","Slovak Republic",2013,0.002420875,5.413393
"SVN","Slovenia",2013,0,2.059953
"SLB","Solomon Islands",2013,0.04380545,0.563513
"ZAF","South Africa",2013,0.044114,53.767396
"SSD","South Sudan",2013,0.4253218,11.17749
"ESP","Spain",2013,0.00746828,46.620045
"LKA","Sri Lanka",2013,0.0002278225,20.585
"LCA","St. Lucia",2013,0.02828684,0.17566
"SDN","Sudan",2013,0.01123206,36.849918
"SUR","Suriname",2013,0.1423445,0.54254
"SWE","Sweden",2013,0.004686075,9.600379
"CHE","Switzerland",2013,0,8.089346
"SYR","Syrian Arab Republic",2013,0.002238085,19.809141
"TJK","Tajikistan",2013,0.003627983,8.177809
"TZA","Tanzania",2013,0.08873876,50.636595
"THA","Thailand",2013,0,68.143065
"TLS","Timor-Leste",2013,0.02704359,1.184366
"TGO","Togo",2013,0.2207929,7.042948
"TON","Tonga",2013,0.000457413,0.105328
"TTO","Trinidad and Tobago",2013,0.0009014217,1.348248
"TUN","Tunisia",2013,0.0004139637,11.014558
"TUR","Turkey",2013,0.0004430261,75.787333
"TKM","Turkmenistan",2013,0.001488894,5.366277
"TUV","Tuvalu",2013,0,0.010819
"UGA","Uganda",2013,0.08373594,37.553726
"UKR","Ukraine",2013,0,45.4896
"GBR","United Kingdom",2013,0,64.128226
"USA","United States",2013,0.009959826,316.234505
"URY","Uruguay",2013,0.0002613751,3.408005
"UZB","Uzbekistan",2013,0.03499374,30.2432
"VUT","Vanuatu",2013,0.01531002,0.253142
"VEN","Venezuela, Republica Bolivariana de",2013,0.06435212,30.317848
"VNM","Vietnam",2013,0.001167552,91.497725
"PSE","West Bank and Gaza",2013,0,4.169506
"YEM","Yemen, Republic of",2013,0.01502421,25.576322
"ZMB","Zambia",2013,0.3355439,15.15321
"ZWE","Zimbabwe",2013,0.003039638,15.054506
"ALB","Albania",2012,0.001319179,2.900401
"DZA","Algeria",2012,0.001036669,37.565847
"AGO","Angola",2012,0.06636092,25.09615
"ARG","Argentina",2012,0.003287692,38.35897
"ARM","Armenia",2012,0.001548988,2.881922
"AUS","Australia",2012,0.003715573,22.742475
"AUT","Austria",2012,0.004893789,8.429991
"AZE","Azerbaijan",2012,0,9.295784
"BGD","Bangladesh",2012,0.005739278,155.727053
"BLR","Belarus",2012,0,9.464495
"BEL","Belgium",2012,0,11.128246
"BLZ","Belize",2012,0.05705812,0.336701
"BEN","Benin",2012,0.1696008,9.72916
"BTN","Bhutan",2012,0.000362741,0.752967
"BOL","Bolivia",2012,0.04510402,10.239004
"BIH","Bosnia and Herzegovina",2012,0,3.6482
"BWA","Botswana",2012,0.03508712,2.089315
"BRA","Brazil",2012,0.01324018,200.560983
"BGR","Bulgaria",2012,0.004946366,7.305888
"BFA","Burkina Faso",2012,0.08752283,16.571216
"BDI","Burundi",2012,0.3249654,9.31971
"CPV","Cabo Verde",2012,0.008623117,0.513979
"CMR","Cameroon",2012,0.06899179,21.082383
"CAN","Canada",2012,0.001649113,34.750545
"CAF","Central African Republic",2012,0.3309596,4.490416
"TCD","Chad",2012,0.1381322,12.705135
"CHL","Chile",2012,0.005252445,17.309746
"CHN","China",2012,0.003932555,1350.695
"CHN","China",2012,0.007196215,651.507733
"CHN","China",2012,0.0008914538,699.187267
"COL","Colombia",2012,0.02022969,46.881475
"COM","Comoros",2012,0.04689656,0.723868
"COD","Congo, Democratic Republic of",2012,0.4772004,68.978682
"COG","Congo, Republic of",2012,0.1407338,4.633363
"CRI","Costa Rica",2012,0.005155753,4.654122
"CIV","Cote d'Ivoire",2012,0.09980007,21.418603
"HRV","Croatia",2012,0.00497443,4.267558
"CYP","Cyprus",2012,0,1.135062
"CZE","Czech Republic",2012,0,10.510785
"DNK","Denmark",2012,0,5.591572
"DJI","Djibouti",2012,0.07800396,0.881185
"DOM","Dominican Republic",2012,0.004601173,10.15495
"ECU","Ecuador",2012,0.0128326,15.419666
"EGY","Egypt, Arab Republic of",2012,0.0005110608,87.813257
"SLV","El Salvador",2012,0.004645442,6.221246
"EST","Estonia",2012,0.002460472,1.322696
"SWZ","Eswatini",2012,0.142925,1.248158
"ETH","Ethiopia",2012,0.06205101,92.444183
"FJI","Fiji",2012,0.0002758816,0.873596
"FIN","Finland",2012,0,5.413971
"FRA","France",2012,0,65.659789
"GAB","Gabon",2012,0.00663143,1.756817
"GMB","Gambia, The",2012,0.03942404,1.802125
"GEO","Georgia",2012,0.01587559,3.825
"DEU","Germany",2012,0,80.425823
"GHA","Ghana",2012,0.02686871,25.733049
"GRC","Greece",2012,0.00728271,11.045011
"GTM","Guatemala",2012,0.02055755,15.271056
"GIN","Guinea",2012,0.06459353,11.281469
"GNB","Guinea-Bissau",2012,0.324343,1.638139
"GUY","Guyana",2012,0.01868279,0.753091
"HTI","Haiti",2012,0.06267702,10.28921
"HND","Honduras",2012,0.07967815,8.505646
"HUN","Hungary",2012,0.002479228,9.920362
"ISL","Iceland",2012,0,0.320716
"IND","India",2012,0.008216018,1263.065852
"IND","India",2012,0.009983351,863.5076
"IND","India",2012,0.004396538,399.558252
"IDN","Indonesia",2012,0.001529733,248.883232
"IDN","Indonesia",2012,0.00168077,121.265866
"IDN","Indonesia",2012,0.001386214,127.617366
"IRN","Iran, Islamic Republic of",2012,0.0004995458,76.453574
"IRQ","Iraq",2012,0.0002075588,32.776571
"IRL","Ireland",2012,0.002471738,4.599533
"ISR","Israel",2012,0.001785845,7.9105
"ITA","Italy",2012,0.007481315,59.539717
"JAM","Jamaica",2012,0.001947348,2.840992
"JPN","Japan",2012,0.00220788,127.629
"JOR","Jordan",2012,0.0001428059,7.992573
"KAZ","Kazakhstan",2012,0,16.792089
"KEN","Kenya",2012,0.1066529,43.646629
"KIR","Kiribati",2012,0.02061642,0.106613
"KOR","Korea, Republic of",2012,0,50.199853
"XKX","Kosovo",2012,0,1.8052
"KGZ","Kyrgyz Republic",2012,0.004373154,5.6072
"LAO","Lao People's Democratic Republic",2012,0.01819451,6.415169
"LVA","Latvia",2012,0.004680606,2.034319
"LBN","Lebanon",2012,0,4.916404
"LSO","Lesotho",2012,0.3236004,2.089928
"LBR","Liberia",2012,0.1090134,4.181563
"LTU","Lithuania",2012,0.007478446,2.987773
"LUX","Luxembourg",2012,0,0.530946
"MKD","Macedonia, former Yugoslav Republic of",2012,0.02757516,2.074036
"MDG","Madagascar",2012,0.4490891,22.346573
"MWI","Malawi",2012,0.3776224,16.097305
"MYS","Malaysia",2012,1.963611e-05,29.170456
"MDV","Maldives",2012,0.001629082,0.386203
"MLI","Mali",2012,0.1162759,16.00667
"MLT","Malta",2012,0,0.420028
"MRT","Mauritania",2012,0.01093757,3.830239
"MUS","Mauritius",2012,8.820274e-05,1.255882
"MEX","Mexico",2012,0.004195894,120.828307
"FSM","Micronesia, Federated States of",2012,0.0399767,0.103503
"MDA","Moldova",2012,0,3.559519
"MNG","Mongolia",2012,4.014379e-05,2.814226
"MNE","Montenegro",2012,0.003495153,0.620601
"MAR","Morocco",2012,0.0004739092,33.333789
"MOZ","Mozambique",2012,0.3135236,25.676606
"MMR","Myanmar",2012,0.0163537,50.986514
"NAM","Namibia",2012,0.04118984,2.263934
"NPL","Nepal",2012,0.005480707,27.649925
"NLD","Netherlands",2012,0,16.754962
"NIC","Nicaragua",2012,0.007183063,5.877108
"NER","Niger",2012,0.06732016,17.731634
"NGA","Nigeria",2012,0.2005554,167.297284
"NOR","Norway",2012,0,5.018573
"PAK","Pakistan",2012,0.0003982177,177.911533
"PAN","Panama",2012,0.01065047,3.772938
"PNG","Papua New Guinea",2012,0.139418,7.430836
"PRY","Paraguay",2012,0.006054096,6.379219
"PER","Peru",2012,0.00946929,30.158966
"PHL","Philippines",2012,0.006713138,96.866642
"POL","Poland",2012,0,38.063164
"PRT","Portugal",2012,0.004914639,10.514844
"ROU","Romania",2012,0,20.058035
"RUS","Russian Federation",2012,1.973482e-05,143.201676
"RWA","Rwanda",2012,0.2161578,10.788853
"WSM","Samoa",2012,0.0002997899,0.189194
"STP","Sao Tome and Principe",2012,0.03754458,0.182889
