p20,variable,type,value,filename,iso3,survey_year
FALSE,stunting,statistic,0.250813584225052,azhr52dt,AZE,2005
FALSE,stunting,numerator,498.902354,azhr52dt,AZE,2005
FALSE,stunting,denominator,1989.136097,azhr52dt,AZE,2005
TRUE,registration,statistic,,azhr52dt,AZE,2005
TRUE,registration,numerator,,azhr52dt,AZE,2005
TRUE,registration,denominator,,azhr52dt,AZE,2005
FALSE,registration,statistic,0.93233952984997,azhr52dt,AZE,2005
FALSE,registration,numerator,2103.853019,azhr52dt,AZE,2005
FALSE,registration,denominator,2256.530965,azhr52dt,AZE,2005
TRUE,mortality,statistic,,bdhr31dt,BGD,1993
TRUE,mortality,numerator,,bdhr31dt,BGD,1993
TRUE,mortality,denominator,,bdhr31dt,BGD,1993
FALSE,mortality,statistic,0.144450668170328,bdhr31dt,BGD,1993
FALSE,mortality,numerator,2747.1038295,bdhr31dt,BGD,1993
FALSE,mortality,denominator,19017.59171,bdhr31dt,BGD,1993
TRUE,stunting,statistic,,bdhr31dt,BGD,1993
TRUE,stunting,numerator,,bdhr31dt,BGD,1993
TRUE,stunting,denominator,,bdhr31dt,BGD,1993
FALSE,stunting,statistic,,bdhr31dt,BGD,1993
FALSE,stunting,numerator,,bdhr31dt,BGD,1993
FALSE,stunting,denominator,,bdhr31dt,BGD,1993
TRUE,registration,statistic,,bdhr31dt,BGD,1993
TRUE,registration,numerator,,bdhr31dt,BGD,1993
TRUE,registration,denominator,,bdhr31dt,BGD,1993
FALSE,registration,statistic,,bdhr31dt,BGD,1993
FALSE,registration,numerator,,bdhr31dt,BGD,1993
FALSE,registration,denominator,,bdhr31dt,BGD,1993
TRUE,mortality,statistic,,bdhr3adt,BGD,1996
TRUE,mortality,numerator,,bdhr3adt,BGD,1996
TRUE,mortality,denominator,,bdhr3adt,BGD,1996
FALSE,mortality,statistic,0.125039310302831,bdhr3adt,BGD,1996
FALSE,mortality,numerator,2064.2024785,bdhr3adt,BGD,1996
